Language	TP	Rib	SMX	Mus	Aid	Ncs	RG	CT	SFM	RC	Nic	CZ	Cut	Ver	FS	Fel	PCa	SMC	FrM	Gar	Bar	BA	TA	Mes	Cel	Bot	TE	Sav	RE	Cor	Nov	PR	Cas	Pvi	Chi	MdL	VI	TS	Lad	SaG	CGA	CGB	CyG	RPG	PhG	Cap	Grk
TP	0.0	0.013513513513513514	0.0273972602739726	0.04054054054054054	0.0410958904109589	0.07142857142857142	0.0136986301369863	0.0273972602739726	0.013888888888888888	0.0273972602739726	0.06756756756756757	0.0547945205479452	0.0958904109589041	0.09859154929577464	0.08108108108108109	0.0945945945945946	0.0945945945945946	0.0945945945945946	0.09722222222222222	0.1095890410958904	0.0945945945945946	0.10810810810810811	0.06756756756756757	0.06756756756756757	0.0410958904109589	0.0547945205479452	0.1	0.11940298507462686	0.11764705882352941	0.13636363636363635	0.11764705882352941	0.11428571428571428	0.11764705882352941	0.08695652173913043	0.08450704225352113	0.1	0.06756756756756757	0.06944444444444445	0.07042253521126761	0.1076923076923077	0.171875	0.125	0.1774193548387097	0.11475409836065574	0.11475409836065574	0.14516129032258066	0.1774193548387097
Rib	0.013513513513513514	0.0	0.0136986301369863	0.02702702702702703	0.0273972602739726	0.08571428571428572	0.0273972602739726	0.0136986301369863	0.013888888888888888	0.0410958904109589	0.08108108108108109	0.0684931506849315	0.0821917808219178	0.09859154929577464	0.0945945945945946	0.10810810810810811	0.10810810810810811	0.10810810810810811	0.08333333333333333	0.0958904109589041	0.10810810810810811	0.12162162162162163	0.08108108108108109	0.05405405405405406	0.0547945205479452	0.0684931506849315	0.1	0.11940298507462686	0.11764705882352941	0.13636363636363635	0.11764705882352941	0.11428571428571428	0.11764705882352941	0.08695652173913043	0.09859154929577464	0.1	0.08108108108108109	0.08333333333333333	0.08450704225352113	0.1076923076923077	0.171875	0.125	0.1774193548387097	0.13114754098360656	0.13114754098360656	0.12903225806451613	0.1774193548387097
SMX	0.0273972602739726	0.0136986301369863	0.0	0.0273972602739726	0.0136986301369863	0.07142857142857142	0.0136986301369863	0.0	0.028169014084507043	0.0273972602739726	0.0821917808219178	0.0547945205479452	0.0684931506849315	0.08450704225352113	0.0958904109589041	0.1095890410958904	0.1232876712328767	0.1232876712328767	0.09859154929577464	0.0821917808219178	0.1232876712328767	0.136986301369863	0.0958904109589041	0.0684931506849315	0.06944444444444445	0.08333333333333333	0.11594202898550725	0.1044776119402985	0.13432835820895522	0.15384615384615385	0.13432835820895522	0.13043478260869565	0.13432835820895522	0.10294117647058823	0.11428571428571428	0.11594202898550725	0.0958904109589041	0.09859154929577464	0.1	0.125	0.15625	0.109375	0.16129032258064516	0.15	0.15	0.14754098360655737	0.16129032258064516
Mus	0.04054054054054054	0.02702702702702703	0.0273972602739726	0.0	0.0410958904109589	0.08571428571428572	0.0410958904109589	0.0273972602739726	0.041666666666666664	0.0273972602739726	0.05405405405405406	0.0821917808219178	0.0684931506849315	0.11267605633802817	0.06756756756756757	0.08108108108108109	0.10810810810810811	0.10810810810810811	0.08333333333333333	0.0821917808219178	0.10810810810810811	0.12162162162162163	0.08108108108108109	0.08108108108108109	0.0821917808219178	0.0958904109589041	0.1	0.1044776119402985	0.11764705882352941	0.13636363636363635	0.11764705882352941	0.11428571428571428	0.11764705882352941	0.10144927536231885	0.09859154929577464	0.1	0.08108108108108109	0.09722222222222222	0.09859154929577464	0.13846153846153847	0.15625	0.140625	0.1774193548387097	0.14754098360655737	0.14754098360655737	0.14516129032258066	0.1774193548387097
Aid	0.0410958904109589	0.0273972602739726	0.0136986301369863	0.0410958904109589	0.0	0.07042253521126761	0.0273972602739726	0.0136986301369863	0.04225352112676056	0.0410958904109589	0.06756756756756757	0.04054054054054054	0.05405405405405406	0.06944444444444445	0.08108108108108109	0.0945945945945946	0.10810810810810811	0.10810810810810811	0.08333333333333333	0.06756756756756757	0.10810810810810811	0.12162162162162163	0.08108108108108109	0.05405405405405406	0.08333333333333333	0.09722222222222222	0.1	0.11940298507462686	0.14925373134328357	0.16923076923076924	0.14925373134328357	0.11428571428571428	0.11764705882352941	0.11764705882352941	0.11267605633802817	0.11428571428571428	0.0945945945945946	0.09722222222222222	0.08450704225352113	0.140625	0.171875	0.125	0.1774193548387097	0.13114754098360656	0.16666666666666666	0.16393442622950818	0.1774193548387097
Ncs	0.07142857142857142	0.08571428571428572	0.07142857142857142	0.08571428571428572	0.07042253521126761	0.0	0.05714285714285714	0.07142857142857142	0.08823529411764706	0.05714285714285714	0.06944444444444445	0.041666666666666664	0.06944444444444445	0.08571428571428572	0.06944444444444445	0.08333333333333333	0.09722222222222222	0.09722222222222222	0.1	0.08333333333333333	0.09722222222222222	0.1111111111111111	0.06944444444444445	0.09722222222222222	0.08571428571428572	0.1	0.10294117647058823	0.12121212121212122	0.1875	0.171875	0.1875	0.16417910447761194	0.16923076923076924	0.13432835820895522	0.13043478260869565	0.1323529411764706	0.1111111111111111	0.0945945945945946	0.0821917808219178	0.14754098360655737	0.16393442622950818	0.13114754098360656	0.16129032258064516	0.12903225806451613	0.14754098360655737	0.1935483870967742	0.16129032258064516
RG	0.0136986301369863	0.0273972602739726	0.0136986301369863	0.0410958904109589	0.0273972602739726	0.05714285714285714	0.0	0.0136986301369863	0.028169014084507043	0.0136986301369863	0.0684931506849315	0.0410958904109589	0.0821917808219178	0.08450704225352113	0.0821917808219178	0.0958904109589041	0.1095890410958904	0.1095890410958904	0.11267605633802817	0.0958904109589041	0.1095890410958904	0.1232876712328767	0.0821917808219178	0.0821917808219178	0.05555555555555555	0.06944444444444445	0.11594202898550725	0.1044776119402985	0.13432835820895522	0.15384615384615385	0.13432835820895522	0.13043478260869565	0.13432835820895522	0.10294117647058823	0.1	0.11594202898550725	0.0821917808219178	0.08450704225352113	0.08571428571428572	0.125	0.15625	0.109375	0.16129032258064516	0.13333333333333333	0.13333333333333333	0.16393442622950818	0.16129032258064516
CT	0.0273972602739726	0.0136986301369863	0.0	0.0273972602739726	0.0136986301369863	0.07142857142857142	0.0136986301369863	0.0	0.028169014084507043	0.0273972602739726	0.0821917808219178	0.0547945205479452	0.0684931506849315	0.08450704225352113	0.0958904109589041	0.1095890410958904	0.1232876712328767	0.1232876712328767	0.09859154929577464	0.0821917808219178	0.1232876712328767	0.136986301369863	0.0958904109589041	0.0684931506849315	0.06944444444444445	0.08333333333333333	0.11594202898550725	0.1044776119402985	0.13432835820895522	0.15384615384615385	0.13432835820895522	0.13043478260869565	0.13432835820895522	0.10294117647058823	0.11428571428571428	0.11594202898550725	0.0958904109589041	0.09859154929577464	0.1	0.125	0.15625	0.109375	0.16129032258064516	0.15	0.15	0.14754098360655737	0.16129032258064516
SFM	0.013888888888888888	0.013888888888888888	0.028169014084507043	0.041666666666666664	0.04225352112676056	0.08823529411764706	0.028169014084507043	0.028169014084507043	0.0	0.04225352112676056	0.08333333333333333	0.07042253521126761	0.09859154929577464	0.08333333333333333	0.09722222222222222	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1	0.11267605633802817	0.1111111111111111	0.125	0.08333333333333333	0.06944444444444445	0.056338028169014086	0.07042253521126761	0.09859154929577464	0.10294117647058823	0.10144927536231885	0.11940298507462686	0.10144927536231885	0.09859154929577464	0.10144927536231885	0.07142857142857142	0.10144927536231885	0.08450704225352113	0.08333333333333333	0.08571428571428572	0.08695652173913043	0.09090909090909091	0.15384615384615385	0.1076923076923077	0.15873015873015872	0.13559322033898305	0.13559322033898305	0.15	0.15873015873015872
RC	0.0273972602739726	0.0410958904109589	0.0273972602739726	0.0273972602739726	0.0410958904109589	0.05714285714285714	0.0136986301369863	0.0273972602739726	0.04225352112676056	0.0	0.0547945205479452	0.0547945205479452	0.0684931506849315	0.09859154929577464	0.0684931506849315	0.0821917808219178	0.0958904109589041	0.0958904109589041	0.09859154929577464	0.0821917808219178	0.0958904109589041	0.1095890410958904	0.0684931506849315	0.0958904109589041	0.06944444444444445	0.08333333333333333	0.10144927536231885	0.08955223880597014	0.11940298507462686	0.13846153846153847	0.11940298507462686	0.11594202898550725	0.11940298507462686	0.10294117647058823	0.08571428571428572	0.10144927536231885	0.0684931506849315	0.08450704225352113	0.08571428571428572	0.140625	0.140625	0.125	0.16129032258064516	0.13333333333333333	0.13333333333333333	0.16393442622950818	0.16129032258064516
