Language;FGM;FGA;FGK;SPK;FGP;FSP;FGN;SCO;GDP;FSN;FNN;FBN;FGT;FGG;FSG;CGB;FPC;DGR;DGP;CGR;NWD;FVP;FVN;DGD;DPQ;DCN;DNN;DIN;FGC;FGE;FCN;HMP;ARR;GCN;GFN;GFP;GP3;GEI;CSE;EAL;CAL;LKA;LKO;LKP;DMP;DMG;GUN;GAD;GFL;PGL;GGH;GSI;ALP;GIT;UST;GPC;PSC;PCA;PMN;RHM;FRC;NRC;DOR;FFP;NUP;PNP;NUD;NUC;NM1;EAF;NM2;NUA;NGL;ACM;DSN;DSA;DSS;DOC;NEX;PEX;FEX;PDC;PCL;APO;FPO;WAP;AGE;OPK;PPK;POK;TSP;TPP;TDP;TDC;TSA;TAR;TLC;TND;TDA;TNL;LPO;PGE;DPP;GMD;GMC;CEX;PKE;PKP
TP;+;+;+;-;+;0;+;0;0;+;+;+;-;+;+;-;-;+;0;-;-;-;-;-;-;-;-;-;0;0;-;-;+;-;0;0;0;0;+;-;-;-;-;-;0;0;-;+;-;-;0;-;-;-;-;-;+;0;0;-;+;-;-;-;-;+;+;+;-;-;0;0;0;0;0;-;0;0;+;+;+;-;-;+;+;+;-;-;0;0;-;0;0;+;0;-;0;0;0;0;0;-;-;-;0;-;-;0
Rib;+;+;+;-;+;0;+;0;0;+;+;+;-;+;+;-;-;+;0;-;-;-;-;-;-;-;-;-;0;0;-;-;+;-;0;0;0;0;+;-;-;-;-;-;0;0;-;+;-;-;0;-;-;-;-;-;+;0;0;-;+;-;-;-;-;+;+;+;-;-;0;0;0;0;0;-;0;0;+;+;+;-;-;+;-;+;-;-;0;0;-;0;0;+;0;-;0;0;0;0;0;-;-;-;0;-;-;0
SMX;+;+;+;-;+;0;+;0;0;+;+;+;-;+;+;-;-;+;0;-;-;+;0;-;-;-;-;-;0;0;-;-;+;-;0;0;0;0;+;-;-;-;-;-;0;0;-;+;-;-;0;-;-;-;-;-;+;0;0;-;+;-;-;-;-;+;+;+;-;-;0;0;0;0;0;-;0;0;+;+;+;-;-;+;-;+;-;-;0;0;-;0;0;+;0;-;0;0;0;0;0;-;-;-;0;-;-;0
Mus;+;+;+;-;+;0;+;0;0;+;+;+;-;+;+;-;-;+;0;-;-;-;+;-;-;-;-;-;0;0;-;-;+;-;0;0;0;0;+;-;-;-;-;-;0;0;-;+;-;-;0;-;-;-;-;-;+;0;0;-;+;-;-;-;-;+;+;+;-;+;0;0;0;0;0;-;0;0;+;+;+;-;-;+;-;+;-;-;0;0;-;0;0;+;0;-;0;0;0;0;0;-;-;-;0;-;-;0
Aid;+;+;+;-;+;0;+;0;0;+;+;+;-;+;+;-;-;+;0;-;-;+;0;-;-;-;-;-;0;0;-;-;+;-;0;0;0;0;+;-;-;-;-;-;0;0;-;+;-;-;0;-;-;-;-;-;+;0;0;-;+;-;-;-;-;+;+;+;-;-;0;0;0;0;0;-;0;0;+;+;+;-;-;+;-;+;-;+;-;0;-;0;0;+;0;-;0;0;0;0;0;-;-;-;0;-;-;0
Ncs;+;+;+;-;+;0;+;0;0;+;+;+;-;+;+;-;-;+;0;-;-;+;0;-;-;-;-;-;0;0;-;-;+;-;0;0;0;0;+;-;-;-;-;-;0;0;-;+;-;-;0;-;-;-;-;-;+;0;0;-;+;-;-;-;-;+;+;+;+;0;-;0;0;0;0;-;0;0;+;+;+;+;0;+;+;0;-;+;+;-;-;0;0;+;-;-;0;0;0;0;0;-;-;-;0;-;+;-
RG;+;+;+;-;+;0;+;0;0;+;+;+;-;+;+;-;-;+;0;-;-;+;0;-;-;-;-;-;0;0;-;-;+;-;0;0;0;0;+;-;-;-;-;-;0;0;-;+;-;-;0;-;-;-;-;-;+;0;0;-;+;-;-;-;-;+;+;+;-;-;0;0;0;0;0;-;0;0;+;+;+;-;-;+;+;+;-;-;0;0;-;0;0;+;0;-;0;0;0;0;0;-;-;-;0;-;-;0
CT;+;+;+;-;+;0;+;0;0;+;+;+;-;+;+;-;-;+;0;-;-;+;0;-;-;-;-;-;0;0;-;-;+;-;0;0;0;0;+;-;-;-;-;-;0;0;-;+;-;-;0;-;-;-;-;-;+;0;0;-;+;-;-;-;-;+;+;+;-;-;0;0;0;0;0;-;0;0;+;+;+;-;-;+;-;+;-;-;0;0;-;0;0;+;0;-;0;0;0;0;0;-;-;-;0;-;-;0
SFM;+;+;+;-;+;0;+;0;0;+;+;+;-;+;+;-;-;+;0;-;-;-;-;-;-;-;-;-;0;0;-;-;+;-;0;0;0;0;+;-;-;-;-;-;0;0;-;+;-;-;0;-;-;-;-;-;+;0;0;-;+;-;-;-;-;+;+;+;-;-;0;0;0;0;0;-;0;0;+;+;+;-;-;-;0;+;0;-;0;0;-;0;0;+;0;-;0;0;0;0;-;-;-;-;0;-;-;0
RC;+;+;+;-;+;0;+;0;0;+;+;+;-;+;+;-;-;+;0;-;-;+;0;-;-;-;-;-;0;0;-;-;+;-;0;0;0;0;+;-;-;-;-;-;0;0;-;+;-;-;0;-;-;-;-;-;+;0;0;-;+;-;-;-;-;+;+;+;-;+;0;0;0;0;0;-;0;0;+;+;+;-;-;+;+;+;-;-;0;0;-;0;0;+;0;-;0;0;0;0;0;-;-;-;0;-;-;0
